task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,pdlc_topk_effective,pdlc_topk_tuned_best_frac,n_valid_folds,error
23,23,cmc,8.0,Multiclass,1473,9,3,1.8888888888888888,0.5782312925170068,0.5513333333333333,0.5782312925170068,0.5522037938729966,0.5506889624536684,0.7330415308955409,0.9344634186522762,0.253748532384634,0.13866311684250832,1326.0,147.0,42,32.0,,10,
23,23,cmc,9.0,Multiclass,1473,9,3,1.8888888888888888,0.5578231292517006,0.540035981157723,0.5578231292517006,0.5386462828859142,0.5423026793994535,0.7628331188103484,0.889259463817586,0.24823592603206635,0.13866497576236725,1326.0,147.0,42,32.0,,10,
28,28,optdigits,0.0,Multiclass,5620,64,10,1.032490974729242,0.9893238434163701,0.9892834358623832,0.9893238434163701,0.9893448900027847,0.9893483709273182,0.999738566860936,0.046348034838457314,0.4381829760968685,1.428693039342761,5058.0,562.0,42,32.0,,10,
28,28,optdigits,1.0,Multiclass,5620,64,10,1.032490974729242,0.99644128113879,0.996491093065484,0.99644128113879,0.9965517241379309,0.9965214761040532,0.9999720406781014,0.03036247949824084,0.4362529683858156,1.4514144361019135,5058.0,562.0,42,32.0,,10,
28,28,optdigits,2.0,Multiclass,5620,64,10,1.032490974729242,0.9893238434163701,0.9893084388736563,0.9893238434163701,0.9895935960591133,0.9893483709273182,0.9999579793028077,0.03686181439424511,0.47420703805983067,1.4309743382036686,5058.0,562.0,42,32.0,,10,
28,28,optdigits,3.0,Multiclass,5620,64,10,1.032490974729242,0.994661921708185,0.9946583751893485,0.994661921708185,0.9947055137844613,0.9946741854636592,0.9998742192378767,0.040745832679093076,0.4258859436959028,1.436581900343299,5058.0,562.0,42,32.0,,10,
28,28,optdigits,4.0,Multiclass,5620,64,10,1.032490974729242,0.994661921708185,0.9946733534777014,0.994661921708185,0.9947660098522167,0.9947055137844613,0.9998208345403616,0.039693618128748026,0.4316023588180542,1.4351115729659796,5058.0,562.0,42,32.0,,10,
28,28,optdigits,5.0,Multiclass,5620,64,10,1.032490974729242,0.9839857651245552,0.9839845848209963,0.9839857651245552,0.9841985129555493,0.9839240145819094,0.9999225621721312,0.049372019056011386,0.43328822776675224,1.4260950051248074,5058.0,562.0,42,32.0,,10,
28,28,optdigits,6.0,Multiclass,5620,64,10,1.032490974729242,0.9893238434163701,0.989347531578653,0.9893238434163701,0.9895017716705559,0.9893796992481203,0.9994637860456266,0.0543977705289067,0.43028570152819157,1.4269455540925264,5058.0,562.0,42,32.0,,10,
28,28,optdigits,7.0,Multiclass,5620,64,10,1.032490974729242,0.9839857651245552,0.984035308600526,0.9839857651245552,0.9843532300545743,0.9841165413533834,0.9999302991757169,0.04636006207745967,0.4282480087131262,1.4243722632527351,5058.0,562.0,42,32.0,,10,
