episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
168,1.648453,0.666470,0.647059,0.649256,0.496844,0.531994,2,14,144,93,0,3,4000,0.5,False,False,0.0,4,1,0.645161
169,1.589342,0.638250,0.717391,0.597229,0.503780,0.516569,2,12,370,232,0,3,4000,0.5,False,False,0.0,4,1,0.689655
170,1.393561,0.671562,0.607143,0.679844,0.501002,0.617335,2,8,130,46,0,3,4000,0.5,False,False,0.0,4,1,0.673913
171,1.807121,0.690244,0.636986,0.687305,0.512110,0.509423,2,16,236,90,0,3,4000,0.5,False,False,0.0,4,1,0.511111
172,1.677038,0.681306,0.587500,0.677803,0.512928,0.520734,2,14,290,130,0,3,4000,0.5,False,False,0.0,4,1,0.592308
173,1.889413,0.917480,0.556391,0.908263,0.493306,0.512725,3,15,282,149,0,3,4000,0.5,False,False,0.0,4,1,0.503356
174,1.750107,0.592464,0.795302,0.533227,0.519671,0.492124,2,10,373,75,0,3,4000,0.5,False,False,0.0,4,1,0.693333
175,1.430134,0.693696,0.513333,0.695650,0.487379,0.482265,2,11,199,49,0,3,4000,0.5,False,False,0.0,4,1,0.55102
176,1.967893,0.608138,0.777778,0.568588,0.494000,0.504359,2,9,135,117,0,3,4000,0.5,False,False,0.0,4,1,0.649573
177,1.392587,0.631874,0.723404,0.603614,0.494635,0.472150,2,13,156,62,0,3,4000,0.5,False,False,0.0,4,1,0.645161
178,1.839736,0.677168,0.591489,0.685626,0.495948,0.648023,2,10,340,105,0,3,4000,0.5,False,False,0.0,4,1,0.657143
179,1.905688,1.005003,0.440678,1.005352,0.545134,0.606665,3,9,143,84,0,3,4000,0.5,False,False,0.0,4,1,0.488095
180,1.482908,0.652356,0.737705,0.639362,0.508138,0.492519,2,14,145,23,0,3,4000,0.5,False,False,0.0,4,1,0.565217
181,1.800270,0.830108,0.636364,0.818746,0.532723,0.541496,3,11,358,171,0,3,4000,0.5,False,False,0.0,4,1,0.625731
182,1.562583,0.698359,0.402367,0.699740,0.505888,0.490827,2,13,233,64,0,3,4000,0.5,False,False,0.0,4,1,0.515625
183,1.625666,0.687989,0.556818,0.687140,0.496536,0.528636,2,13,136,48,0,3,4000,0.5,False,False,0.0,4,1,0.541667
184,1.615068,0.651059,0.687500,0.640340,0.505251,0.573876,2,9,219,27,0,3,4000,0.5,False,False,0.0,4,1,0.592593
185,1.540776,0.693236,0.250000,0.693147,0.507924,0.488230,2,14,122,50,0,3,4000,0.5,False,False,0.0,4,1,0.5
186,2.181212,0.687080,0.565217,0.691448,0.506922,0.499351,2,12,166,143,0,3,4000,0.5,False,False,0.0,4,1,0.622378
187,2.007481,0.778102,0.805556,0.728407,0.549658,0.511165,3,15,121,85,0,3,4000,0.5,False,False,0.0,4,1,0.658824
188,1.958204,0.920306,0.606061,0.907616,0.498215,0.497411,3,11,388,223,0,3,4000,0.5,False,False,0.0,4,1,0.569507
189,1.467602,0.693363,0.490826,0.693147,0.507008,0.487493,2,12,286,68,0,3,4000,0.5,False,False,0.0,4,1,0.5
